Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","001","World","5110","Area","6601","Land area","2016","2016","1000 ha","13031774.2856","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6601","Land area","2017","2017","1000 ha","13031241.3","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6601","Land area","2018","2018","1000 ha","13031523.556","B","Time series break",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","2016","2016","1000 ha","4831957.7334","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","2017","2017","1000 ha","4855317.4556","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","2018","2018","1000 ha","4841328.9464","B","Time series break",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","2016","2016","1000 ha","4785695.4664","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","2017","2017","1000 ha","4815944.3312","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","2018","2018","1000 ha","4804410.3187","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6620","Cropland","2016","2016","1000 ha","1557773.4788","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6620","Cropland","2017","2017","1000 ha","1561412.9431","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6620","Cropland","2018","2018","1000 ha","1565500.4509","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","2016","2016","1000 ha","1386099.0568","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","2017","2017","1000 ha","1387502.3663","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","2018","2018","1000 ha","1387121.3218","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6630","Temporary crops","2016","2016","1000 ha","1065482.0112","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6630","Temporary crops","2017","2017","1000 ha","1069168.672","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6630","Temporary crops","2018","2018","1000 ha","1067628.7218","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6633","Temporary meadows and pastures","2016","2016","1000 ha","142915.9322","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6633","Temporary meadows and pastures","2017","2017","1000 ha","142388.817","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6633","Temporary meadows and pastures","2018","2018","1000 ha","142184.5362","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6640","Temporary fallow","2016","2016","1000 ha","177699.9143","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6640","Temporary fallow","2017","2017","1000 ha","175947.9084","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6640","Temporary fallow","2018","2018","1000 ha","177305.9821","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6650","Permanent crops","2016","2016","1000 ha","171733.2785","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6650","Permanent crops","2017","2017","1000 ha","174012.7566","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6650","Permanent crops","2018","2018","1000 ha","178504.3366","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6655","Permanent meadows and pastures","2016","2016","1000 ha","3227919.7666","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6655","Permanent meadows and pastures","2017","2017","1000 ha","3254528.6443","B","Time series break",""
"RL","Land Use","001","World","5110","Area","6655","Permanent meadows and pastures","2018","2018","1000 ha","3238902.2007","E","Estimated value",""
