,Exposure hierarchy (L7),Mean,AGROVOC_label,AGROVOC_uri
170,"Cow milk, semi skimmed (half fat)",202.02,,
143,Coffee (average strength) beverage,175.78,,
8,Apples,134.45,apples,http://aims.fao.org/aos/agrovoc/c_541
433,Potatoes,123.47,potatoes,http://aims.fao.org/aos/agrovoc/c_13551
601,"Wheat bread and rolls, white (refined flour)",122.25,,
613,"Wine, red",108.28999999999999,,
117,Chicken fresh meat,96.71,,
172,"Cow milk, whole",90.21,,
204,Dried durum pasta,85.55,,
395,"Olive oil, virgin or extra-virgin",79.36,,
147,Coffee espresso (beverage),77.41000000000001,,
23,Beer,75.78,,
173,"Cow, ox or bull fresh meat",74.71,,
149,"Cola beverages, caffeinic",71.23,,
266,Globe tomato,69.41,,
